RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000000869	6	3	1	3	0	3	19	4	3	33	61	97	221	130	101
ENSMUSG00000000876	1130	1389	1038	1365	1592	1606	819	1053	875	863	810	1040	1129	687	841
ENSMUSG00000000881	146	211	89	36	24	11	142	201	201	62	47	57	83	54	62
ENSMUSG00000000884	702	878	692	293	384	454	343	514	340	379	330	381	650	284	379
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000000901	52	175	85	38	21	28	14	18	31	17	14	32	8	1	12
ENSMUSG00000000902	3971	3896	3213	3555	3945	5885	6247	7618	5631	4543	3626	4047	5791	4067	4923
ENSMUSG00000000903	28	13	8	49	37	88	16	19	33	170	92	102	136	50	81
ENSMUSG00000000915	101	106	108	1189	1067	891	598	784	913	1555	1259	646	2084	1889	1852
ENSMUSG00000000916	901	1173	826	428	576	672	707	867	642	475	400	387	663	430	505
ENSMUSG00000000934	265	459	367	168	176	155	542	607	477	326	224	267	325	183	343
ENSMUSG00000000938	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000942	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000000948	8	3	0	1	1	0	0	1	0	0	0	2	0	1	2
ENSMUSG00000000957	22	11	9	11	25	3	41	27	35	7	130	16	43	165	28
ENSMUSG00000000958	64	54	28	107	115	99	105	147	59	38	350	240	444	65	288
ENSMUSG00000000959	2542	2859	2287	3593	3882	3360	2173	2975	2176	2557	2382	2238	3590	2178	3400
ENSMUSG00000000976	2317	2771	1607	1830	2237	1703	1168	1485	1535	1654	1378	1476	2373	1883	2577
ENSMUSG00000000982	6	4	55	255	478	163	5689	4320	3470	17320	9850	10599	13409	12670	14736
ENSMUSG00000000983	0	0	0	0	3	2	3	0	1	0	9	3	6	2	6
ENSMUSG00000001014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001016	4792	6114	3970	3212	3995	4131	5055	6076	4972	3467	2799	4038	5110	3355	5158
ENSMUSG00000001017	3324	3420	2711	3539	3084	2593	2360	3062	2829	2398	1854	1407	2640	2718	2605
ENSMUSG00000001018	1458	2362	1440	2352	2402	1553	1002	1413	1340	2530	2138	2928	4048	2830	3472
ENSMUSG00000001020	5	0	1	332	351	515	83	118	80	35	166	24	85	36	97
ENSMUSG00000001021	4	2	2	21	27	42	9	11	11	25	32	34	27	35	39
ENSMUSG00000001023	2	0	0	0	0	4	2	2	0	0	5	0	2	0	0
ENSMUSG00000001025	80	38	74	27176	30664	43722	7099	8766	6953	12280	8806	5160	7519	8058	13635
ENSMUSG00000001027	0	5	5	22	3	9	0	3	2	0	6	15	38	13	16
